symbol,name,raw_name,market,sector,theme,enabled,resolved,note
CIPLA.NS,Cipla,Cipla,IN,Healthcare,Healthcare,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
DIVISLAB.NS,Divi's Laboratories,Divi's Laboratories,IN,Healthcare,Biotech,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
HAL.NS,Hindustan Aeronautics,Hindustan Aeronautics,IN,Aerospace,Aerospace,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
BEL.NS,Bharat Electronics,Bharat Electronics,IN,Defense,Defense,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
BDL.NS,Bharat Dynamics,Bharat Dynamics,IN,Defense,Defense,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
COCHINSHIP.NS,Cochin Shipyard,Cochin Shipyard,IN,Defense,Defense,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
MAZDOCK.NS,Mazagon Dock Shipbuilders,Mazagon Dock Shipbuilders,IN,Defense,Defense,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
ADANIGREEN.NS,Adani Green Energy,Adani Green Energy,IN,Renewable Energy,Renewable Energy,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
SUZLON.NS,Suzlon Energy,Suzlon Energy,IN,Renewable Energy,Renewable Energy,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
TATAPOWER.NS,Tata Power,Tata Power,IN,Renewable Energy,Renewable Energy,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
NTPC.NS,NTPC,NTPC,IN,Energy,Energy,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
ONGC.NS,Oil and Natural Gas Corporation,Oil and Natural Gas Corporation,IN,Energy,Energy,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
COALINDIA.NS,Coal India,Coal India,IN,Resources,Resources,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
HINDALCO.NS,Hindalco Industries,Hindalco Industries,IN,Metals & Mining,Copper,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
VEDL.NS,Vedanta,Vedanta,IN,Resources,Resources,False,False,seed_candidate;country=India;verify_with_toss_stock_info_before_live
FPT.VN,FPT Corporation,FPT Corporation,VN,Technology,AI,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VCB.VN,Vietcombank,Vietcombank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
BID.VN,BIDV,BIDV,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
CTG.VN,VietinBank,VietinBank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
TCB.VN,Techcombank,Techcombank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
MBB.VN,Military Commercial Joint Stock Bank,Military Commercial Joint Stock Bank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
ACB.VN,Asia Commercial Bank,Asia Commercial Bank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
STB.VN,Sacombank,Sacombank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VIB.VN,Vietnam International Bank,Vietnam International Bank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
TPB.VN,TPBank,TPBank,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
HPG.VN,Hoa Phat Group,Hoa Phat Group,VN,Resources,Resources,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VHM.VN,Vinhomes,Vinhomes,VN,Construction,Construction,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VIC.VN,Vingroup,Vingroup,VN,Automotive,Autonomous Driving,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VNM.VN,Vinamilk,Vinamilk,VN,Consumer,Consumer,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
GAS.VN,PV Gas,PV Gas,VN,Energy,Energy,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
PLX.VN,Petrolimex,Petrolimex,VN,Energy,Energy,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
POW.VN,PV Power,PV Power,VN,Energy,Energy,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
PVD.VN,Petrovietnam Drilling,Petrovietnam Drilling,VN,Energy,Energy,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
PVS.HN,PetroVietnam Technical Services,PetroVietnam Technical Services,VN,Energy,Energy,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
DGC.VN,Duc Giang Chemicals,Duc Giang Chemicals,VN,Resources,Resources,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
DPM.VN,PetroVietnam Fertilizer and Chemicals,PetroVietnam Fertilizer and Chemicals,VN,Resources,Resources,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
GVR.VN,Vietnam Rubber Group,Vietnam Rubber Group,VN,Resources,Resources,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
MSN.VN,Masan Group,Masan Group,VN,Resources,Resources,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VJC.VN,VietJet Aviation,VietJet Aviation,VN,Aerospace,Aerospace,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
HVN.VN,Vietnam Airlines,Vietnam Airlines,VN,Aerospace,Aerospace,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
SSI.VN,SSI Securities,SSI Securities,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
HCM.VN,Ho Chi Minh City Securities,Ho Chi Minh City Securities,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VND.VN,VNDirect Securities,VNDirect Securities,VN,Financial,Bank,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
MWG.VN,Mobile World Investment,Mobile World Investment,VN,Consumer,Consumer,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
VRE.VN,Vincom Retail,Vincom Retail,VN,Real Estate,Real Estate,False,False,seed_candidate;country=Vietnam;verify_with_toss_stock_info_before_live
2330.TW,Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2454.TW,MediaTek,MediaTek,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2317.TW,Hon Hai Precision Industry,Hon Hai Precision Industry,TW,Technology,AI,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2308.TW,Delta Electronics,Delta Electronics,TW,Environmental Services,Green,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2382.TW,Quanta Computer,Quanta Computer,TW,Technology,AI,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
3231.TW,Wistron,Wistron,TW,Technology,AI,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2357.TW,ASUSTeK Computer,ASUSTeK Computer,TW,Technology,AI,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2379.TW,Realtek Semiconductor,Realtek Semiconductor,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
3034.TW,Novatek Microelectronics,Novatek Microelectronics,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
3711.TW,ASE Technology Holding,ASE Technology Holding,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2303.TW,United Microelectronics,United Microelectronics,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2408.TW,Nanya Technology,Nanya Technology,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
6488.TWO,GlobalWafers,GlobalWafers,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
3008.TW,Largan Precision,Largan Precision,TW,Automotive,Autonomous Driving,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2327.TW,Yageo,Yageo,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2301.TW,Lite-On Technology,Lite-On Technology,TW,Environmental Services,Green,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2345.TW,Accton Technology,Accton Technology,TW,Technology,AI,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
3661.TW,Alchip Technologies,Alchip Technologies,TW,Semiconductor,Semiconductor,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2412.TW,Chunghwa Telecom,Chunghwa Telecom,TW,Telecommunication,Telecom,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2881.TW,Fubon Financial Holding,Fubon Financial Holding,TW,Financial,Bank,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2882.TW,Cathay Financial Holding,Cathay Financial Holding,TW,Financial,Bank,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2891.TW,CTBC Financial Holding,CTBC Financial Holding,TW,Financial,Bank,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2886.TW,Mega Financial Holding,Mega Financial Holding,TW,Financial,Bank,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
1301.TW,Formosa Plastics,Formosa Plastics,TW,Resources,Resources,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
1303.TW,Nan Ya Plastics,Nan Ya Plastics,TW,Resources,Resources,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
1326.TW,Formosa Chemicals & Fibre,Formosa Chemicals & Fibre,TW,Resources,Resources,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
6505.TW,Formosa Petrochemical,Formosa Petrochemical,TW,Energy,Energy,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2002.TW,China Steel,China Steel,TW,Resources,Resources,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
1101.TW,Taiwan Cement,Taiwan Cement,TW,Construction,Construction,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
2207.TW,Hotai Motor,Hotai Motor,TW,Automotive,Autonomous Driving,False,False,seed_candidate;country=Taiwan;verify_with_toss_stock_info_before_live
AIR.PA,Airbus,Airbus,FR,Aerospace,Aerospace,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
HO.PA,Thales,Thales,FR,Defense,Defense,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
SAF.PA,Safran,Safran,FR,Aerospace,Aerospace,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
SU.PA,Schneider Electric,Schneider Electric,FR,Environmental Services,Green,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
CAP.PA,Capgemini,Capgemini,FR,Technology,AI,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
DSY.PA,Dassault Systemes,Dassault Systemes,FR,Technology,AI,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
STMPA.PA,STMicroelectronics,STMicroelectronics,FR,Semiconductor,Semiconductor,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
SAN.PA,Sanofi,Sanofi,FR,Healthcare,Healthcare,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
OR.PA,L'Oreal,L'Oreal,FR,Healthcare,Healthcare,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
AI.PA,Air Liquide,Air Liquide,FR,Energy,Energy,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
TTE.PA,TotalEnergies,TotalEnergies,FR,Energy,Energy,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
ENGI.PA,Engie,Engie,FR,Renewable Energy,Renewable Energy,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
VIE.PA,Veolia Environnement,Veolia Environnement,FR,Environmental Services,Green,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
NEX.PA,Nexans,Nexans,FR,Metals & Mining,Copper,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
DG.PA,Vinci,Vinci,FR,Construction,Construction,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
EN.PA,Bouygues,Bouygues,FR,Construction,Construction,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
SGO.PA,Saint-Gobain,Saint-Gobain,FR,Construction,Construction,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
RNO.PA,Renault,Renault,FR,Automotive,Autonomous Driving,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
ML.PA,Michelin,Michelin,FR,Automotive,Autonomous Driving,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
BNP.PA,BNP Paribas,BNP Paribas,FR,Financial,Bank,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
ACA.PA,Credit Agricole,Credit Agricole,FR,Financial,Bank,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
GLE.PA,Societe Generale,Societe Generale,FR,Financial,Bank,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
CS.PA,AXA,AXA,FR,Insurance,Insurance,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
MC.PA,LVMH,LVMH,FR,Consumer,Consumer,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
RMS.PA,Hermes International,Hermes International,FR,Consumer,Consumer,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
BN.PA,Danone,Danone,FR,Consumer,Consumer,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
ORA.PA,Orange,Orange,FR,Telecommunication,Telecom,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
PUB.PA,Publicis Groupe,Publicis Groupe,FR,Technology,AI,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
RI.PA,Pernod Ricard,Pernod Ricard,FR,Consumer,Consumer,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
VIV.PA,Vivendi,Vivendi,FR,Consumer,Consumer,False,False,seed_candidate;country=France;verify_with_toss_stock_info_before_live
SAP.DE,SAP,SAP,DE,Technology,AI,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
SIE.DE,Siemens,Siemens,DE,Industrial Automation,Robotics,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
ENR.DE,Siemens Energy,Siemens Energy,DE,Energy,Energy,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
IFX.DE,Infineon Technologies,Infineon Technologies,DE,Semiconductor,Semiconductor,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
RHM.DE,Rheinmetall,Rheinmetall,DE,Defense,Defense,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
HAG.DE,Hensoldt,Hensoldt,DE,Defense,Defense,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
AIR.DE,Airbus,Airbus,DE,Aerospace,Aerospace,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
MBG.DE,Mercedes-Benz Group,Mercedes-Benz Group,DE,Automotive,Autonomous Driving,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
BMW.DE,BMW,BMW,DE,Automotive,Autonomous Driving,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
VOW3.DE,Volkswagen,Volkswagen,DE,Automotive,Autonomous Driving,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
P911.DE,Porsche AG,Porsche AG,DE,Automotive,Autonomous Driving,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
PAH3.DE,Porsche Automobil Holding,Porsche Automobil Holding,DE,Automotive,Autonomous Driving,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
BAS.DE,BASF,BASF,DE,Resources,Resources,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
BAYN.DE,Bayer,Bayer,DE,Healthcare,Healthcare,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
MRK.DE,Merck KGaA,Merck KGaA,DE,Healthcare,Biotech,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
SHL.DE,Siemens Healthineers,Siemens Healthineers,DE,Healthcare,Healthcare,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
QIA.DE,Qiagen,Qiagen,DE,Healthcare,Biotech,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
FME.DE,Fresenius Medical Care,Fresenius Medical Care,DE,Healthcare,Healthcare,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
DTE.DE,Deutsche Telekom,Deutsche Telekom,DE,Telecommunication,Telecom,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
DBK.DE,Deutsche Bank,Deutsche Bank,DE,Financial,Bank,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
CBK.DE,Commerzbank,Commerzbank,DE,Financial,Bank,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
ALV.DE,Allianz,Allianz,DE,Insurance,Insurance,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
MUV2.DE,Munich Re,Munich Re,DE,Insurance,Insurance,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
HEI.DE,Heidelberg Materials,Heidelberg Materials,DE,Construction,Construction,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
HOT.DE,Hochtief,Hochtief,DE,Construction,Construction,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
RWE.DE,RWE,RWE,DE,Renewable Energy,Renewable Energy,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
EOAN.DE,E.ON,E.ON,DE,Energy,Energy,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
NDX1.DE,Nordex,Nordex,DE,Renewable Energy,Renewable Energy,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
VNA.DE,Vonovia,Vonovia,DE,Real Estate,Real Estate,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
HEN3.DE,Henkel,Henkel,DE,Environmental Services,Green,False,False,seed_candidate;country=Germany;verify_with_toss_stock_info_before_live
AZN.L,AstraZeneca,AstraZeneca,GB,Healthcare,Biotech,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
GSK.L,GSK,GSK,GB,Healthcare,Healthcare,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
SHEL.L,Shell,Shell,GB,Energy,Energy,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
BP.L,BP,BP,GB,Energy,Energy,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
NG.L,National Grid,National Grid,GB,Energy,Energy,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
SSE.L,SSE,SSE,GB,Renewable Energy,Renewable Energy,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
RR.L,Rolls-Royce Holdings,Rolls-Royce Holdings,GB,Aerospace,Aerospace,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
BA.L,BAE Systems,BAE Systems,GB,Defense,Defense,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
IAG.L,International Consolidated Airlines Group,International Consolidated Airlines Group,GB,Aerospace,Aerospace,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
EZJ.L,easyJet,easyJet,GB,Aerospace,Aerospace,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
HSBA.L,HSBC Holdings,HSBC Holdings,GB,Financial,Bank,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
BARC.L,Barclays,Barclays,GB,Financial,Bank,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
LLOY.L,Lloyds Banking Group,Lloyds Banking Group,GB,Financial,Bank,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
NWG.L,NatWest Group,NatWest Group,GB,Financial,Bank,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
LSEG.L,London Stock Exchange Group,London Stock Exchange Group,GB,Technology,AI,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
REL.L,RELX,RELX,GB,Technology,AI,False,False,seed_candidate;country=United Kingdom;verify_with_toss_stock_info_before_live
