category,requirement,status,code_location,formula_or_rule,note
TechnicalRules,HL2,O,technical_entries.py,(H+L)/2,
TechnicalRules,Supertrend fast,O,technical_entries.py,mult=2,
TechnicalRules,Supertrend slow,O,technical_entries.py,mult=4,
TechnicalRules,색상 전환 진입,O,technical_entries.py,fast_flip,
TechnicalRules,더블트렌드 필터,O,technical_entries.py,fast_dir==slow_dir,
TechnicalRules,점선 돌파 진입,O,technical_entries.py,slow flip+agreement,
TechnicalRules,10캔들 유지,O,technical_entries.py,slow_age>=10,
TechnicalRules,리테스트 매매,O,technical_entries.py,near ST line + reversal,
TechnicalRules,쌍바닥,O,technical_entries.py,double_bottom_top,
TechnicalRules,쌍고점,O,technical_entries.py,double_bottom_top,
TechnicalRules,라운드 패턴,△,technical_entries.py,단순 패턴 대체,
TechnicalRules,추세선 중첩,△,technical_entries.py,ST≈EMA mid,
TechnicalRules,횡보 신호 3회,O,technical_entries.py,flip_count>=3,
TechnicalRules,실선 반대신호 2회,O,technical_entries.py,partial exit,
TechnicalRules,돌파트렌드 실제 시간가중 ATR,X,technical_entries.py,비공개라 정확복제 불가,
TechnicalRules,Dolpa-like 채널,O,technical_entries.py,EMA±ATR,
TechnicalRules,노란/파란 상태,O,technical_entries.py,close>=mid,
TechnicalRules,화살표 근사,O,technical_entries.py,upper/lower breakout,
TechnicalRules,중단선 손절,O,exit_rules.py,midline break,
TechnicalRules,손익비 1:2,O,technical_entries.py,TP=entry+2*risk,
TechnicalRules,중단선 눌림,O,technical_entries.py,midline retest,
TechnicalRules,박스 하단 매수,O,technical_entries.py,lower zone+bullish,
TechnicalRules,박스 상단 매도,O,technical_entries.py,upper zone+bearish,
TechnicalRules,박스 돌파/이탈,O,technical_entries.py,box_breakout,
TechnicalRules,볼린저 중단선,O,technical_entries.py,SMA20±2σ,
TechnicalRules,볼린저 눌림,O,technical_entries.py,near BB_mid,
TechnicalRules,진입 박스 저장,O,technical.levels,box_high/low,
Trading/Portfolio,BUY 조건,O,risk.py/main.py,edge&alpha&sde&trend&tech,
Trading/Portfolio,기술 신호 없으면 HOLD,O,main.py,BUY->HOLD,
Trading/Portfolio,최소주문금액,O,order_builder.py,>=MIN_ORDER_KRW,
Trading/Portfolio,국내 1주 이상,O,order_builder.py,floor(value/price)>=1,
Trading/Portfolio,현금 reserve,O,main.py,deployable=effective*(1-reserve),
Trading/Portfolio,운용상한,O,main.py,"min(cash,cap)",
Trading/Portfolio,신규매수 제한,O,MAX_NEW_BUYS_PER_LOOP,per loop cap,
Trading/Portfolio,분산매수,△,main.py,조건통과 순서로 매수,TopN allocator 미완
Trading/Portfolio,MAX_OPEN_POSITIONS,△,config.py,설정 존재,완전 적용은 allocator 필요
Trading/Portfolio,손절,O,exit_rules.py,pnl<=-stop,
Trading/Portfolio,익절,O,exit_rules.py,pnl>=take,
Trading/Portfolio,분할익절,O,exit_rules.py,sell 50%,
Trading/Portfolio,모델악화 매도,O,exit_rules.py,edge/alpha/sde/trend,
Trading/Portfolio,기술적 매도,O,exit_rules.py,technical triggers,
Trading/Portfolio,매도 후 재투입,△,main.py,다음 루프 buying_power,redeploy fraction 미구현
Dashboard/Data,봇 상태,O,/api/bot/status,state/log,
Dashboard/Data,이벤트 질문,O,/api/bot/events,event_questions,
Dashboard/Data,종목 CSV,O,/api/bot/symbols,symbols.csv,
Dashboard/Data,원본 관심종목,O,/api/bot/watchlist-raw,watchlist_raw,
Dashboard/Data,최근 로그,O,/api/bot/trades,trades.jsonl,
Dashboard/Data,API 사용량,O,/api/bot/api-usage,api_usage_state,
Dashboard/Data,LLM 로그,O,/api/bot/llm-calls,llm_calls,
Dashboard/Data,데이터 요구사항,O,/api/bot/data-requirements,actual_data_requirements,
Dashboard/Data,토큰 버튼,O,dashboard,/api/token,
Dashboard/Data,계좌 버튼,O,dashboard,/api/accounts,
Dashboard/Data,잔고 버튼,O,dashboard,/api/buying-power,
Dashboard/Data,보유종목 버튼,O,dashboard,/api/positions,
Dashboard/Data,주문 생성/정정/취소,O,dashboard,orders,
Data/Controls,질문 CSV,O,event_questions.csv,mapped_symbols,
Data/Controls,질문 회전,O,question_templates.csv,random,
Data/Controls,MARKET:KR,O,events.py,market mapping,
Data/Controls,THEME 매핑,O,events.py,theme mapping,
Data/Controls,MAX_SYMBOLS_PER_EVENT,O,main.py,candidate cap,
Data/Controls,원본 리스트 보존,O,watchlist_raw.csv,raw,
Data/Controls,미확정 심볼 비활성,O,symbols.csv,enabled=false,
Data/Controls,API key env,O,.env.example,no hardcode,
Data/Controls,SEC User-Agent,O,.env.example,SEC_USER_AGENT,
Data/Controls,데이터 캐시,O,data_cache,SEC/Naver,
Data/Controls,실전 전 dry-run 권고,O,README,validation,
Data/Controls,Toss 문서 검증 필요,△,README,endpoint/fields,
Data/Controls,장기수익 보장 없음,O,README,risk warning,
Data/Controls,로컬 대시보드,O,Flask,127.0.0.1,
