symbol,name,raw_name,market,sector,theme,enabled,resolved,note
003540,대신증권,대신증권,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
003570,SNT다이내믹스,SNT다이내믹스,KR,Defense/Auto Parts,Defense,true,seeded,verify_with_toss_stock_info_before_live
003670,포스코퓨처엠,포스코퓨처엠,KR,Battery Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
004410,서울식품,서울식품,KR,Food,Consumer,true,seeded,verify_with_toss_stock_info_before_live
005380,현대차,현대자동차,KR,Auto,EV/Auto,true,seeded,verify_with_toss_stock_info_before_live
005680,삼영전자,삼영전기,KR,Electronic Components,Components,true,seeded,verify_with_toss_stock_info_before_live
005930,삼성전자,삼성전자,KR,Semiconductor,AI Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
005940,NH투자증권,NH투자증권,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
006280,녹십자,녹십자,KR,Healthcare,Pharma,true,seeded,verify_with_toss_stock_info_before_live
006340,대원전선,대원전선,KR,Cable,Power Grid,true,seeded,verify_with_toss_stock_info_before_live
006400,삼성SDI,삼성SDI,KR,Battery,Battery,true,seeded,verify_with_toss_stock_info_before_live
006730,서부T&D,서부T&D,KR,Real Estate/Logistics,Real Estate,true,seeded,verify_with_toss_stock_info_before_live
006800,미래에셋증권,미래에셋증권,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
007460,에이프로젠,에이프로젠,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
008040,사조동아원,사조동아원,KR,Food,Consumer,true,seeded,verify_with_toss_stock_info_before_live
,아진전자부품,아진전자부품,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
009520,포스코엠텍,포스코엠텍,KR,Materials,Secondary Battery,true,seeded,verify_with_toss_stock_info_before_live
009830,한화솔루션,한화솔루션,KR,Chemical/Solar,Solar,true,seeded,verify_with_toss_stock_info_before_live
010820,퍼스텍,퍼스텍,KR,Defense,Defense,true,seeded,verify_with_toss_stock_info_before_live
011560,세보엠이씨,세보엠이씨,KR,Construction Equipment,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
012280,영화금속,영화금속,KR,Auto Parts,Auto Parts,true,seeded,verify_with_toss_stock_info_before_live
012450,한화에어로스페이스,한화에어로스페이스,KR,Defense,Aerospace/Defense,true,seeded,verify_with_toss_stock_info_before_live
012510,더존비즈온,더존비즈온,KR,Software,Enterprise Software,false,toss_unverified,toss_price_unavailable_2026-07-15;exclude_from_execution_until_reverified
013570,디와이,디와이,KR,Machinery,Industrial,true,seeded,verify_with_toss_stock_info_before_live
013580,계룡건설,계룡건설,KR,Construction,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
013810,스페코,스페코,KR,Defense/Wind,Defense,true,seeded,verify_with_toss_stock_info_before_live
014470,부방,부방,KR,Consumer,Holding,true,seeded,verify_with_toss_stock_info_before_live
015760,한국전력,한국전력공사,KR,Utilities,Power,true,seeded,verify_with_toss_stock_info_before_live
016360,삼성증권,삼성증권,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
016920,카스,카스,KR,Equipment,Equipment,true,seeded,verify_with_toss_stock_info_before_live
017040,광명전기,광명전기,KR,Electrical Equipment,Power Grid,true,seeded,verify_with_toss_stock_info_before_live
017670,SK텔레콤,SK텔레콤,KR,Telecom,Telecom/AI,true,seeded,verify_with_toss_stock_info_before_live
018000,유니슨,유니슨,KR,Wind,Renewable Energy,true,seeded,verify_with_toss_stock_info_before_live
018260,삼성SDS,삼성SDS,KR,IT Service,Cloud/AI,true,seeded,verify_with_toss_stock_info_before_live
018290,브이티,브이티,KR,Cosmetics,Consumer,true,seeded,verify_with_toss_stock_info_before_live
019210,와이지-원,와이지-원,KR,Machinery,Industrial,true,seeded,verify_with_toss_stock_info_before_live
019550,SBI인베스트먼트,SBI인베스트먼트,KR,Venture Capital,VC,true,seeded,verify_with_toss_stock_info_before_live
019680,대교,대교,KR,Education,Education,true,seeded,verify_with_toss_stock_info_before_live
020150,롯데에너지머티리얼즈,롯데에너지머티리얼즈,KR,Battery Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
020180,대신정보통신,대신정보통신,KR,IT Service,IT Service,true,seeded,verify_with_toss_stock_info_before_live
021040,대호특수강,대호특수강,KR,Steel,Materials,true,seeded,verify_with_toss_stock_info_before_live
023590,다우기술,다우기술,KR,IT Service,IT Service,true,seeded,verify_with_toss_stock_info_before_live
024090,디씨엠,디씨엠,KR,Materials,Materials,true,seeded,verify_with_toss_stock_info_before_live
025950,동신건설,동신건설,KR,Construction,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
027710,팜스토리,팜스토리,KR,Food,Agri/Food,true,seeded,verify_with_toss_stock_info_before_live
027830,대성창투,대성창투,KR,Venture Capital,VC,true,seeded,verify_with_toss_stock_info_before_live
027970,한국제지,한국제지,KR,Paper,Materials,true,seeded,verify_with_toss_stock_info_before_live
028260,삼성물산,삼성물산,KR,Holding/Construction,Holding,true,seeded,verify_with_toss_stock_info_before_live
030200,KT,KT,KR,Telecom,Telecom/AI,true,seeded,verify_with_toss_stock_info_before_live
030520,한글과컴퓨터,한글과컴퓨터,KR,Software,AI Software,true,seeded,verify_with_toss_stock_info_before_live
031310,아이즈비전,아이즈비전,KR,Telecom,Telecom,true,seeded,verify_with_toss_stock_info_before_live
031430,신세계인터내셔날,신세계인터내셔날,KR,Consumer,Consumer,true,seeded,verify_with_toss_stock_info_before_live
,오스템,오스템,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
032640,LG유플러스,LG유플러스,KR,Telecom,Telecom/AI,true,seeded,verify_with_toss_stock_info_before_live
033270,유나이티드제약,유나이티드제약,KR,Healthcare,Pharma,true,seeded,verify_with_toss_stock_info_before_live
033500,동성화인텍,동성화인텍,KR,Materials,LNG,true,seeded,verify_with_toss_stock_info_before_live
033640,네패스,네패스,KR,Semiconductor,Semiconductor Packaging,true,seeded,verify_with_toss_stock_info_before_live
034020,두산에너빌리티,두산에너빌리티,KR,Energy Equipment,Nuclear/Power,true,seeded,verify_with_toss_stock_info_before_live
035420,NAVER,NAVER,KR,Internet,AI Software,true,seeded,verify_with_toss_stock_info_before_live
035720,카카오,카카오,KR,Internet,Platform,true,seeded,verify_with_toss_stock_info_before_live
039290,인포뱅크,인포뱅크,KR,Software,Mobility/AI,true,seeded,verify_with_toss_stock_info_before_live
042000,카페24,카페24,KR,E-commerce,E-commerce,true,seeded,verify_with_toss_stock_info_before_live
042700,한미반도체,한미반도체,KR,Semiconductor Equipment,HBM/Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
044450,KSS해운,KSS해운,KR,Shipping,Shipping,true,seeded,verify_with_toss_stock_info_before_live
047400,유니온머티리얼,유니온머티리얼,KR,Materials,Rare Earth,true,seeded,verify_with_toss_stock_info_before_live
047560,이스트소프트,이스트소프트,KR,Software,AI Software,true,seeded,verify_with_toss_stock_info_before_live
047810,한국항공우주,한국항공우주,KR,Aerospace/Defense,Aerospace/Defense,true,seeded,verify_with_toss_stock_info_before_live
051500,CJ프레시웨이,CJ프레시웨이,KR,Food Service,Consumer,true,seeded,verify_with_toss_stock_info_before_live
051600,한전KPS,한전KPS,KR,Utilities Service,Nuclear/Power,true,seeded,verify_with_toss_stock_info_before_live
,중앙첨단소재,중앙첨단소재,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
052690,한전기술,한전기술,KR,Engineering,Nuclear/Power,true,seeded,verify_with_toss_stock_info_before_live
053690,한미글로벌,한미글로벌,KR,Construction Management,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
053800,안랩,안랩,KR,Cybersecurity,Cybersecurity,true,seeded,verify_with_toss_stock_info_before_live
054090,삼진엘앤디,삼진엘앤디,KR,Components,Components,true,seeded,verify_with_toss_stock_info_before_live
054450,텔레칩스,텔레칩스,KR,Semiconductor,Automotive Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
055550,신한지주,신한지주,KR,Financial,Bank,true,seeded,verify_with_toss_stock_info_before_live
058470,리노공업,리노공업,KR,Semiconductor Equipment,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
058610,에스피지,에스피지,KR,Robotics Parts,Robotics,true,seeded,verify_with_toss_stock_info_before_live
058820,CMG제약,CMG제약,KR,Healthcare,Pharma,true,seeded,verify_with_toss_stock_info_before_live
064350,현대로템,현대로템,KR,Defense/Rail,Defense,true,seeded,verify_with_toss_stock_info_before_live
,LG CNS,LG CNS,GLOBAL_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
065450,빅텍,빅텍,KR,Defense,Defense,true,seeded,verify_with_toss_stock_info_before_live
066570,LG전자,LG전자,KR,Electronics,Electronics/AI,true,seeded,verify_with_toss_stock_info_before_live
066970,엘앤에프,엘앤에프,KR,Battery Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
068270,셀트리온,셀트리온,KR,Healthcare,Biotech,true,seeded,verify_with_toss_stock_info_before_live
068330,일신바이오,일신바이오,KR,Bio Equipment,Biotech,true,seeded,verify_with_toss_stock_info_before_live
071050,한국금융지주,한국금융지주,KR,Financial,Securities,true,seeded,verify_with_toss_stock_info_before_live
078000,텔코웨어,텔코웨어,KR,Telecom Software,Telecom,true,seeded,verify_with_toss_stock_info_before_live
079550,LIG넥스원,LIG넥스원,KR,Defense,Defense,true,seeded,verify_with_toss_stock_info_before_live
082270,젬백스,젬백스,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
083470,이엠앤아이,이엠앤아이,KR,Materials,Materials,true,seeded,verify_with_toss_stock_info_before_live
084370,유진테크,유진테크,KR,Semiconductor Equipment,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
084440,유비온,유비온,KR,Education/Software,EdTech,true,seeded,verify_with_toss_stock_info_before_live
085660,차바이오텍,차바이오텍,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
086900,메디톡스,메디톡스,KR,Healthcare,Biotech,true,seeded,verify_with_toss_stock_info_before_live
087260,모바일어플라이언스,모바일어플라이언스,KR,Mobility,Autonomous,true,seeded,verify_with_toss_stock_info_before_live
090080,평화산업,평화산업,KR,Auto Parts,Auto Parts,true,seeded,verify_with_toss_stock_info_before_live
091580,상신이디피,상신이디피,KR,Battery Parts,Battery,true,seeded,verify_with_toss_stock_info_before_live
,트리니티항공,트리니티항공,KR_CANDIDATE,,Space/Defense,false,unresolved,symbol_required_before_live_trading
,셀트리온헬스케어,셀트리온헬스케어,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
094820,일진파워,일진파워,KR,Power Plant,Nuclear/Power,true,seeded,verify_with_toss_stock_info_before_live
095610,테스,테스,KR,Semiconductor Equipment,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
095910,에스에너지,에스에너지,KR,Solar,Renewable Energy,true,seeded,verify_with_toss_stock_info_before_live
096770,SK이노베이션,SK이노베이션,KR,Energy/Battery,Battery,true,seeded,verify_with_toss_stock_info_before_live
097520,엠씨넥스,엠씨넥스,KR,Camera Module,Mobility,true,seeded,verify_with_toss_stock_info_before_live
099320,쎄트렉아이,쎄트렉아이,KR,Satellite,Space,true,seeded,verify_with_toss_stock_info_before_live
101170,우림피티에스,우림피티에스,KR,Machinery,Robotics,true,seeded,verify_with_toss_stock_info_before_live
101490,에스앤에스텍,에스앤에스텍,KR,Semiconductor Materials,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
103590,일진전기,일진전기,KR,Electrical Equipment,Power Grid,true,seeded,verify_with_toss_stock_info_before_live
105560,KB금융,KB금융,KR,Financial,Bank,true,seeded,verify_with_toss_stock_info_before_live
108380,대양전기공업,대양전기공업,KR,Electrical Equipment,Ship/Defense,true,seeded,verify_with_toss_stock_info_before_live
108490,로보티즈,로보티즈,KR,Robotics,Robotics,true,seeded,verify_with_toss_stock_info_before_live
108860,셀바스AI,셀바스AI,KR,AI Software,AI Software,true,seeded,verify_with_toss_stock_info_before_live
115180,큐리언트,큐리언트,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
117730,티로보틱스,티로보틱스,KR,Robotics,Robotics,true,seeded,verify_with_toss_stock_info_before_live
118990,모트렉스,모트렉스,KR,Mobility,Autonomous,true,seeded,verify_with_toss_stock_info_before_live
128940,한미약품,한미약품,KR,Healthcare,Pharma,true,seeded,verify_with_toss_stock_info_before_live
129890,앱코,앱코,KR,Hardware,Consumer Tech,true,seeded,verify_with_toss_stock_info_before_live
133820,화인베스틸,화인베스틸,KR,Steel,Materials,true,seeded,verify_with_toss_stock_info_before_live
134580,탑코미디어,탑코미디어,KR,Media,Media,true,seeded,verify_with_toss_stock_info_before_live
,원일티엔아이,원일티엔아이,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
138040,메리츠금융지주,메리츠금융지주,KR,Financial,Financial Holding,true,seeded,verify_with_toss_stock_info_before_live
144510,지씨셀,지씨셀,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
,율촌,율촌,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
181710,NHN,NHN,KR,Internet/Cloud,Cloud/AI,true,seeded,verify_with_toss_stock_info_before_live
185750,종근당,종근당,KR,Healthcare,Pharma,true,seeded,verify_with_toss_stock_info_before_live
194480,데브시스터즈,데브시스터즈,KR,Game,Game,true,seeded,verify_with_toss_stock_info_before_live
195870,해성디에스,해성디에스,KR,Semiconductor Components,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
196700,웹스,웹스,KR,Materials,Materials,true,seeded,verify_with_toss_stock_info_before_live
203400,에이비온,에이비온,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
204320,HL만도,HL만도,KR,Auto Parts,Mobility,true,seeded,verify_with_toss_stock_info_before_live
207940,삼성바이오로직스,삼성바이오로직스,KR,Healthcare,Biotech,true,seeded,verify_with_toss_stock_info_before_live
,다산디엠씨,다산디엠씨,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
214680,디알텍,디알텍,KR,Medical Device,Medical AI,true,seeded,verify_with_toss_stock_info_before_live
215790,이노인스트루먼트,이노인스트루먼트,KR,Equipment,Equipment,true,seeded,verify_with_toss_stock_info_before_live
,티엠씨,티엠씨,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
217820,원익피앤이,원익피앤이,KR,Battery Equipment,Battery,true,seeded,verify_with_toss_stock_info_before_live
222420,쎄노텍,쎄노텍,KR,Materials,Materials,true,seeded,verify_with_toss_stock_info_before_live
227950,엔투텍,엔투텍,KR,Semiconductor Equipment,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
229640,LS에코에너지,LS에코에너지,KR,Cable/Energy,Power Grid,true,seeded,verify_with_toss_stock_info_before_live
236810,엔비티,엔비티,KR,AdTech,AdTech,true,seeded,verify_with_toss_stock_info_before_live
240810,원익IPS,원익IPS,KR,Semiconductor Equipment,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
247540,에코프로비엠,에코프로비엠,KR,Battery Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
272210,한화시스템,한화시스템,KR,Defense/ICT,Defense AI,true,seeded,verify_with_toss_stock_info_before_live
273060,와이즈버즈,와이즈버즈,KR,AdTech,AI/AdTech,true,seeded,verify_with_toss_stock_info_before_live
274090,켄코아에어로스페이스,켄코아에어로스페이스,KR,Aerospace,Aerospace/Defense,true,seeded,verify_with_toss_stock_info_before_live
277810,레인보우로보틱스,레인보우로보틱스,KR,Robotics,Robotics,true,seeded,verify_with_toss_stock_info_before_live
286940,롯데이노베이트,롯데이노베이트,KR,IT Service,Cloud/AI,true,seeded,verify_with_toss_stock_info_before_live
,인투셀,인투셀,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
289010,아이스크림에듀,아이스크림에듀,KR,Education,EdTech,true,seeded,verify_with_toss_stock_info_before_live
291810,핀텔,핀텔,KR,AI Vision,AI Software,true,seeded,verify_with_toss_stock_info_before_live
298040,효성중공업,효성중공업,KR,Electrical Equipment,Power Grid,true,seeded,verify_with_toss_stock_info_before_live
300120,라온피플,라온피플,KR,AI Vision,AI Software,true,seeded,verify_with_toss_stock_info_before_live
301300,바이브컴퍼니,바이브컴퍼니,KR,AI Software,AI Software,true,seeded,verify_with_toss_stock_info_before_live
304100,솔트룩스,솔트룩스,KR,AI Software,AI Software,true,seeded,verify_with_toss_stock_info_before_live
306620,네온테크,네온테크,KR,Drone/Automation,Drone,true,seeded,verify_with_toss_stock_info_before_live
307950,현대오토에버,현대오토에버,KR,IT Service,Mobility/AI,true,seeded,verify_with_toss_stock_info_before_live
,셀비온,셀비온,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
315640,딥노이드,딥노이드,KR,Medical AI,Medical AI,true,seeded,verify_with_toss_stock_info_before_live
317120,라닉스,라닉스,KR,Mobility Semiconductor,Autonomous,true,seeded,verify_with_toss_stock_info_before_live
317330,덕산테코피아,덕산테코피아,KR,Battery/Semiconductor Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
322000,현대에너지솔루션,현대에너지솔루션,KR,Solar,Renewable Energy,true,seeded,verify_with_toss_stock_info_before_live
322310,오로스테크놀로지,오로스테크놀로지,KR,Semiconductor Equipment,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
328130,루닛,루닛,KR,Medical AI,Medical AI,true,seeded,verify_with_toss_stock_info_before_live
332290,누보,누보,KR,Agri,Agri/Food,true,seeded,verify_with_toss_stock_info_before_live
336260,두산퓨얼셀,두산퓨얼셀,KR,Hydrogen,Hydrogen,true,seeded,verify_with_toss_stock_info_before_live
338220,뷰노,뷰노,KR,Medical AI,Medical AI,true,seeded,verify_with_toss_stock_info_before_live
340440,세림B&G,세림B&G,KR,Eco Materials,Eco Materials,true,seeded,verify_with_toss_stock_info_before_live
,스피어,스피어,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
348340,뉴로메카,뉴로메카,KR,Robotics,Robotics,true,seeded,verify_with_toss_stock_info_before_live
358570,지아이이노베이션,지아이이노베이션,KR,Biotech,Biotech,true,seeded,verify_with_toss_stock_info_before_live
360070,탑머티리얼,탑머티리얼,KR,Battery Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
361390,제노코,제노코,KR,Satellite/Defense,Space/Defense,true,seeded,verify_with_toss_stock_info_before_live
361610,SK아이이테크놀로지,SK아이이테크놀로지,KR,Battery Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
,드림인사이트,드림인사이트,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
365590,하이딥,하이딥,KR,Semiconductor,Semiconductor,true,seeded,verify_with_toss_stock_info_before_live
372170,윤성에프앤씨,윤성에프앤씨,KR,Battery Equipment,Battery,true,seeded,verify_with_toss_stock_info_before_live
373220,LG에너지솔루션,LG에너지솔루션,KR,Battery,Battery,true,seeded,verify_with_toss_stock_info_before_live
375500,DL이앤씨,DL이앤씨,KR,Construction,Infrastructure,true,seeded,verify_with_toss_stock_info_before_live
377480,마음AI,마인즈랩,KR,AI Software,AI Software,true,seeded,verify_with_toss_stock_info_before_live
,뉴로핏,뉴로핏,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
382900,범한퓨얼셀,범한퓨얼셀,KR,Hydrogen,Hydrogen,true,seeded,verify_with_toss_stock_info_before_live
388720,유일로보틱스,유일로보틱스,KR,Robotics,Robotics,true,seeded,verify_with_toss_stock_info_before_live
389260,대명에너지,대명에너지,KR,Renewable Energy,Renewable Energy,true,seeded,verify_with_toss_stock_info_before_live
389500,에스비비테크,에스비비테크,KR,Robotics Parts,Robotics,true,seeded,verify_with_toss_stock_info_before_live
393890,더블유씨피,더블유씨피,KR,Battery Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
,리센스메디컬,리센스메디컬,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
396270,넥스트칩,넥스트칩,KR,Automotive Semiconductor,Autonomous,true,seeded,verify_with_toss_stock_info_before_live
417200,LS머트리얼즈,LS머트리얼즈,KR,Battery/Materials,Battery,true,seeded,verify_with_toss_stock_info_before_live
452280,한선엔지니어링,한선엔지니어링,KR,Equipment,Power/Hydrogen,true,seeded,verify_with_toss_stock_info_before_live
453340,현대그린푸드,현대그린푸드,KR,Food,Consumer,true,seeded,verify_with_toss_stock_info_before_live
454910,두산로보틱스,두산로보틱스,KR,Robotics,Robotics,true,seeded,verify_with_toss_stock_info_before_live
456040,OCI,OCI,KR,Chemical/Materials,Solar Materials,true,seeded,verify_with_toss_stock_info_before_live
457550,우진엔텍,우진엔텍,KR,Nuclear Service,Nuclear/Power,true,seeded,verify_with_toss_stock_info_before_live
464080,에스오에스랩,에스오에스랩,KR,LiDAR,Autonomous,true,seeded,verify_with_toss_stock_info_before_live
,오가노이드사이언스,오가노이드사이언스,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,나라스페이스테크놀로지,나라스페이스테크놀로지,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,큐브엔텍,큐브엔텍,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,드론플라이,드론플라이,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,동서발전,동서발전,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,GS파워,GS파워,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,한미전기,한미전기,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,아이크로스큐,아이크로스큐,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,서부발전,서부발전,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,한국과학기술원 관련 산학기업,한국과학기술원 관련 산학기업,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
,카카오엔터프라이즈,카카오엔터프라이즈,KR_CANDIDATE,,Watchlist,false,unresolved,symbol_required_before_live_trading
